"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id"
"1",0.326,0.322,5,-20.192,1,0.0337,0.887,0.841,0.116,0.0651,89.657,"1a3G9SNslcKsPAOuIikaxd"
"2",0.507,0.832,10,-5.931,1,0.0425,0.00643,1.6e-05,0.229,0.485,177.894,"65OR4ywy8Cgs3FDHK82Idl"
"3",0.575,0.838,2,-6.498,1,0.0454,0.000172,0.000103,0.458,0.215,135.006,"23BO6YozrAXUta1buxFZ80"
"4",0.0859,0.289,5,-17.24,0,0.0359,0.805,0.99,0.141,0.038,166.784,"1danObd53GynoY83wRz3Ua"
"5",0.592,0.342,0,-8.93,1,0.0339,0.193,0.00245,0.11,0.155,130.953,"4cGqn0E8JCSY9gQllQj4Mf"
"6",0.348,0.0491,4,-15.431,1,0.0404,0.97,0.000186,0.0918,0.232,136.68,"3oTYv0yShT4sjuPncoUXfK"
"7",0.432,0.613,4,-6.785,0,0.0349,0.00581,0.0151,0.312,0.0911,136.362,"5ophZLHA9mwSZhQSmboyDN"
"8",0.614,0.68,5,-7.84,0,0.0425,0.0168,0.00056,0.118,0.347,153.937,"2L2mM3rEO3arNIMQnb3dou"
"9",0.115,0.907,3,-20.358,1,0.223,0.969,0.981,0.98,0.0185,189.885,"0RbekAlUrwR6ZWJdwB3V4y"
"10",0.573,0.711,1,-6.268,0,0.0406,0.0114,0,0.328,0.47,105.006,"46HNZY1i7O6jwTA7Slo2PI"
"11",0.576,0.896,2,-8.994,1,0.0412,0.00941,0.955,0.153,0.412,135.01,"2wleRXcIPqltoDPLMH5WDa"
"12",0.285,0.265,2,-10.836,1,0.0288,0.629,0.179,0.066,0.0699,134.055,"0jH7gF7KCk2Lom9gimaKms"
"13",0.146,0.216,9,-12.302,1,0.0399,0.939,0.54,0.0773,0.0341,78.045,"6Tb7Zfo4PcSiS4TqQ4NnTh"
"14",0.449,0.736,11,-6.98,0,0.0368,0.00865,0.145,0.147,0.133,123.973,"1e8D1BCD2afT56Km7UahpB"
"15",0.595,0.315,2,-11.456,0,0.0296,0.427,0.648,0.111,0.336,96.018,"45PqOIkZ9PdCjsCJQYzx9G"
"16",0.55,0.271,5,-11.836,1,0.0495,0.923,0,0.147,0.521,130.151,"1cXXhzPnbrXjNQYbLdUJdy"
"17",0.633,0.18,1,-19.54,1,0.034,0.931,0.801,0.513,0.2,116.981,"3pcPPhPAiurm2Ior11SHrz"
"18",0.692,0.294,10,-15.483,1,0.248,0.935,0.929,0.116,0.802,133.686,"7jib2tJjQ82kTIZZATMvAK"
"19",0.401,0.834,7,-7.727,1,0.055,0.000114,0.849,0.373,0.163,172.009,"0ZlVUhjO8c0bOx1D2Btznf"
"20",0.141,0.28,1,-18.225,1,0.0618,0.921,0.368,0.135,0.434,64.501,"0UvUivL70eDwhTWBd8S38I"
"21",0.475,0.565,10,-8.336,1,0.0326,0.775,0.188,0.138,0.708,85.25,"6VzRvCbolqcUswaSPm48rI"
"22",0.503,0.808,11,-5.051,0,0.0451,0.0258,0.00149,0.557,0.282,107.973,"03T4ttRCiLXST6MZjeMwmR"
"23",0.341,0.365,7,-13.871,1,0.0322,0.722,0.00194,0.184,0.0486,182.995,"2HUtNS9qtfgWbnaagK6AAe"
"24",0.491,0.262,8,-10.458,1,0.0572,0.89,0.288,0.207,0.338,204.52,"4Kwhm5VU4huxmQtBqd1AXo"
"25",0.476,0.18,5,-17.499,1,0.0346,0.943,0.235,0.138,0.236,134.025,"3E3zYgQul8EaJioNvD2tv9"
"26",0.393,0.301,7,-20.428,1,0.0497,0.758,0.764,0.161,0.0384,140.438,"6DGzLNiawTtntC9NHzeMeY"
"27",0.503,0.594,7,-7.095,1,0.0263,0.00276,0.0102,0.109,0.168,108.9,"6mf7BNgXs8JipPr2QILnyN"
"28",0.512,0.452,2,-8.991,1,0.0292,0.775,0.0818,0.065,0.235,124.103,"0h9fnCSnbUgOEgibnQByFv"
"29",0.32,0.923,11,-6.33,1,0.136,0.0132,0.00654,0.705,0.255,122.756,"5H8lr4az4Vo3LloH67yVRt"
"30",0.322,0.873,4,-5.818,1,0.0639,0.000343,0.000698,0.362,0.144,91.033,"2s2Ld1Xm7t88gSVvohNbPL"
"31",0.397,0.943,9,-5.619,1,0.0663,0.00406,0,0.981,0.325,118.005,"4Q0yfgpERfkp59Pf2tdI4q"
"32",0.294,0.652,5,-7.314,1,0.0336,0.105,0.00196,0.378,0.167,75.335,"1aZhbOdRqshLS6uPjiO8Y4"
"33",0.345,0.967,1,-4.687,0,0.0837,0.000615,0.000117,0.89,0.366,137.917,"2q8WO601qIwLwV4DgXDCiO"
"34",0.189,0.872,5,-6.616,1,0.051,0.00193,0.0187,0.898,0.19,138.661,"314gi4w3RdZxlocdWw0Khr"
"35",0.46,0.771,5,-7.872,1,0.0314,0.00157,0.827,0.975,0.147,97.555,"0oAchaVoTWj6lXTR6f2dSU"
"36",0.474,0.836,9,-6.547,1,0.0618,0.0162,0.381,0.748,0.479,95.544,"6EqxH0njjZuuI3gFZN3Z1o"
"37",0.292,0.434,4,-8.881,1,0.033,0.711,0.000205,0.383,0.234,154.04,"4U5Cr41d1K6s48GAndvCdM"
"38",0.448,0.907,5,-5.253,0,0.0531,0.065,0.0125,0.391,0.23,130.898,"4cHZ7W5R81upaIGZfqWxbB"
"39",0.359,0.768,1,-9.32,1,0.0431,0.0428,0.46,0.319,0.119,126.99,"62OqszvOYSuonp6Buj4P74"
"40",0.312,0.87,10,-6.634,1,0.0503,0.00181,0.00132,0.345,0.28,138.03,"3ksF058sVZ21EgQdRLbUyI"
"41",0.17,0.708,0,-6.997,0,0.0417,0.0399,0.00945,0.354,0.251,89.641,"0w6X9iRKrMyDpRRtbu4tE0"
"42",0.256,0.625,3,-7.53,1,0.0348,0.00534,0.00386,0.179,0.201,140.351,"7mGJlNOAOmJ5ptkmujg1Gv"
"43",0.428,0.948,5,-4.655,0,0.0934,0.00537,1.29e-06,0.371,0.219,138.015,"4Y9lVjRD82aJOQ2v13UIoF"
"44",0.476,0.952,9,-5.472,0,0.0884,0.00297,0.013,0.777,0.275,111.98,"3ERJLifTcWBFNZRl6QAqEC"
"45",0.196,0.937,6,-5.813,1,0.138,0.00262,1.75e-06,0.397,0.0819,124.401,"1aQKPnGNa5vK7aA6lTm4JS"
"46",0.253,0.454,4,-11.742,1,0.0362,0.763,0.892,0.378,0.133,85.508,"5MVyXzR1HARqSkQjhPrNBO"
"47",0.121,0.699,9,-6.956,1,0.043,0.171,0.00104,0.965,0.326,78.393,"0o7htzPrB8bP0jnyjiqUdj"
"48",0.233,0.675,3,-8.374,1,0.0501,0.252,0.0181,0.854,0.317,134.173,"1rAZrYT0Ad4F1RiDaxYknE"
"49",0.426,0.859,11,-5.866,0,0.0448,0.00072,0.000775,0.456,0.17,102.913,"0hreO9tj5yiYftUuVThaea"
"50",0.415,0.808,6,-6.596,1,0.0367,0.00255,0.000606,0.982,0.2,124.893,"1EMFnyhETKfI52uhI4baGY"
"51",0.108,0.82,7,-5.61,1,0.075,0.0115,2.41e-05,0.659,0.15,67.092,"3glegOEXSkk8HanJe7ZB08"
"52",0.156,0.217,4,-18.429,1,0.0451,0.000119,0.929,0.102,0.0936,74.901,"6c64ANGY0NfO2YMpbcJUOR"
"53",0.449,0.92,11,-4.982,1,0.0737,0.0021,0.0167,0.334,0.0772,122.984,"32kkgDF3INcwS6qs6ILplZ"
"54",0.559,0.841,0,-5.584,1,0.0332,0.000315,0.437,0.0816,0.147,105.009,"3R34ORJaGjmAcQK5sfgmQ0"
"55",0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,"3Jqgu4nVb0oQTGmObR097r"
"56",0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,"2eUDgLm67Itf6vEYK1L9wf"
"57",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,"17ZmrriLHd1RnaFBp6c7UI"
"58",0.485,0.735,0,-5.125,1,0.0354,0.271,7.49e-06,0.0853,0.216,134.021,"0SREKu7J3D8Uw7qyl2OCMb"
"59",0.288,0.285,7,-18.193,0,0.0355,0.964,0.897,0.406,0.148,127.122,"0KxEJcGUaW7b6GpPNPL7gH"
"60",0.387,0.659,3,-6.492,1,0.0434,0.275,6.44e-05,0.0861,0.287,146.048,"5oVHiXIQxwahhbFOzD5ZUF"
"61",0.451,0.636,5,-5.796,1,0.0274,0.017,0.435,0.141,0.289,97.041,"6w3eoWrKcR4x41uG3cwGNF"
"62",0.348,0.166,11,-20.349,1,0.0376,0.852,0.915,0.137,0.0337,123.58,"2vlTT7d7yovhBMgcsUrONg"
"63",0.479,0.717,7,-5.459,1,0.0605,0.0488,0.000333,0.102,0.253,163.989,"2qQG5RmzKvQz8l3JTxSv47"
"64",0.651,0.771,9,-6.541,0,0.0313,0.00381,1.71e-05,0.238,0.456,112.015,"3RateSD2PJ9fGZzHnRmIAT"
"65",0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.028,"1OAiWI2oPmglaOiv9fdioU"
"66",0.806,0.657,7,-5.947,1,0.0688,0.103,0.00283,0.126,0.289,97.986,"5QOpPsNwbi3IfUH0TffBpn"
"67",0.557,0.542,9,-8.945,1,0.0439,0.235,0.141,0.715,0.301,93.312,"28EbC4MoqVr1LsIGDAaIjO"
"68",0.493,0.864,5,-4.613,0,0.0399,0.0539,0.19,0.668,0.231,130.983,"1eGZMzDf7gSOSvFkprCYFa"
"69",0.443,0.942,5,-4.136,0,0.11,0.0139,3.58e-06,0.886,0.309,137.986,"28u0nvCV0qA8VlGA8C4ZAi"
"70",0.384,0.414,11,-9.223,1,0.0293,0.837,0.0209,0.147,0.177,74.978,"1fRJH6eT6ZsYCCc74YenIv"
"71",0.236,0.825,6,-5.273,1,0.0578,0.0603,0.000713,0.41,0.189,124.938,"0mIkdGHjYDvwlWS9BIhhs2"
"72",0.449,0.92,11,-4.982,1,0.0737,0.0021,0.0167,0.334,0.0772,122.984,"6f49kbOuQSOsStBpyGvQfA"
"73",0.559,0.841,0,-5.584,1,0.0332,0.000315,0.437,0.0816,0.147,105.009,"3HWDWyIqWuLsTHECx9DvXF"
"74",0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,"3RiPr603aXAoi4GHyXx0uy"
"75",0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,"5qfZRNjt2TkHEL12r3sDEU"
"76",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,"69uxyAqqPIsUyTO8txoP2M"
"77",0.485,0.735,0,-5.125,1,0.0354,0.271,7.49e-06,0.0853,0.216,134.021,"7fJFDK6XjYsXcMKNHESbot"
"78",0.288,0.285,7,-18.193,0,0.0355,0.964,0.897,0.406,0.148,127.122,"7IX7VAXujvcZ3e1PG7sGP7"
"79",0.387,0.659,3,-6.492,1,0.0434,0.275,6.44e-05,0.0861,0.287,146.048,"4giCxIFPZNQIP4bIZM4sqH"
"80",0.451,0.636,5,-5.796,1,0.0274,0.017,0.435,0.141,0.289,97.041,"3wtV2ifnHzirkAElgTGh63"
"81",0.348,0.166,11,-20.349,1,0.0376,0.852,0.915,0.137,0.0337,123.58,"3VqiD8Yvk6bKwqS1e64PHB"
"82",0.479,0.717,7,-5.459,1,0.0605,0.0488,0.000333,0.102,0.253,163.989,"31L9yLXSj6LpCFupyMV6CR"
