"","text","sentiment"
"1","Me","Neutral"
"2","","Neutral"
"3","Me","Neutral"
"4","Yes me","Positive"
"5","Yes me","Positive"
"6","Time travellers","Neutral"
"7","me","Neutral"
"8","me","Neutral"
"9"," You did not see i suppose","Neutral"
"10","Cari juga toh","Neutral"
"11","Me","Neutral"
"12","Me","Neutral"
"13","","Neutral"
"14","whatever you say habibi","Neutral"
"15","me","Neutral"
"16","What day is it","Neutral"
"17","Me","Neutral"
"18","Bro me too","Neutral"
"19","ME","Neutral"
"20","Thanks for like","Positive"
"21","Me too","Neutral"
"22","Me","Neutral"
"23","Me too","Neutral"
"24","Me","Neutral"
"25","me","Neutral"
"26","today ","Neutral"
"27","Rip","Neutral"
"28","Me","Neutral"
"29","me","Neutral"
"30"," mu mu","Neutral"
"31","Slowly slowly India is also becoming like other countries","Positive"
"32","One day","Neutral"
"33","Yeah","Positive"
"34","Bro is a time traveler","Neutral"
"35","I will expect a reply then","Neutral"
"36","djfluffy mins ago","Neutral"
"37","Yes I am from Japan Japan is lives in ","Positive"
"38","I will be back","Neutral"
"39","Me","Neutral"
"40","it is ","Neutral"
"41","I am at Bahrain here ","Neutral"
"42","","Neutral"
"43","Me","Neutral"
"44","No it is bro","Negative"
"45","No it ","Negative"
"46","it is ","Neutral"
"47","Me on ","Neutral"
"48","cent cent","Neutral"
"49","I am from India registered trademark India is going to become the most powerful country in the world by Jai shree Ram","Positive"
"50","sanatanixyz mu cent cent","Neutral"
"51","","Neutral"
"52","Ben","Neutral"
"53","I am in oh my god laughing out loud","Positive"
"54","I","Neutral"
"55"," mu mu ","Neutral"
"56","We have no timemechine","Negative"
"57","bro xD","Neutral"
"58","Aaja bhai idhar bhi paisa mil jayega","Neutral"
"59","Exactly what I went though until when I moved back to Mumbai","Neutral"
"60","Aqui","Neutral"
"61","Here","Neutral"
"62","","Neutral"
"63","rebeccalaytonLove from India","Neutral"
"64","And it is still beautiful","Positive"
"65","there is no traditional clothes in muzlims it is only Black tent and slavery funny how western women are so delusional","Neutral"
"66","Here baby","Neutral"
"67","Me","Neutral"
"68","I love u coldplay","Positive"
"69","Listen to this incredible song once a week Great way to start off the Memorial Day weekend","Positive"
"70","Very nice culture","Positive"
"71","I also miss my India as I am currently living in Israel and I miss the food and culture that we have","Negative"
"72","do not offend whole India is your","Negative"
"73","ashutoshsingh thats what India is big country Its not only about North part","Positive"
