"topic","term","beta"
1,"aaega",7.37887630859045e-202
2,"aaega",0.00106272090598136
3,"aaega",2.26001344505334e-206
4,"aaega",4.08482198230868e-202
5,"aaega",1.20938436356211e-201
6,"aaega",3.48342900962178e-198
1,"aaja",4.76113184187018e-191
2,"aaja",0.00106272090598136
3,"aaja",3.19343612030956e-194
4,"aaja",9.1706307617113e-191
5,"aaja",4.07356959769677e-191
6,"aaja",3.24092553148608e-188
1,"abanyamurenge",1.96968719870047e-210
2,"abanyamurenge",1.03610258657409e-212
3,"abanyamurenge",3.29084855945451e-214
4,"abanyamurenge",4.49169386521095e-210
5,"abanyamurenge",0.00110071387508795
6,"abanyamurenge",6.58198947295647e-208
1,"aboutthatpreppygator",1.98050149303559e-156
2,"aboutthatpreppygator",0.00106272090598136
3,"aboutthatpreppygator",1.66935511968075e-158
4,"aboutthatpreppygator",6.97580569235034e-156
5,"aboutthatpreppygator",9.21231099804914e-153
6,"aboutthatpreppygator",2.22911072812986e-152
1,"abril",2.12941741878864e-208
2,"abril",1.18214751150823e-178
3,"abril",0.00177465597904249
4,"abril",2.84958682048941e-208
5,"abril",5.6190924477224e-209
6,"abril",6.33738653822317e-205
1,"absolute",3.42148455333652e-168
2,"absolute",0.00106272090598136
3,"absolute",1.55521735218359e-172
4,"absolute",2.44982031900815e-168
5,"absolute",1.56100250864513e-168
6,"absolute",1.28720085624685e-165
1,"absolutely",2.06383990690855e-157
2,"absolutely",0.00112778805938902
3,"absolutely",1.23687113742229e-159
4,"absolutely",0.00230753116986009
5,"absolutely",6.76557560848676e-154
6,"absolutely",1.90951514096092e-152
1,"aca",2.98111848681046e-200
2,"aca",1.80917153919179e-200
3,"aca",0.000887327989521247
4,"aca",8.12248751629402e-199
5,"aca",1.92717870830777e-199
6,"aca",1.0891643972531e-196
1,"achieve",1.46959905657877e-191
2,"achieve",0.00106272090598136
3,"achieve",9.34903931219726e-195
4,"achieve",2.71723545220676e-188
5,"achieve",5.59699906593862e-191
6,"achieve",8.5738554025039e-188
1,"active",0.0011436347751787
2,"active",3.2196614451492e-185
3,"active",4.75466703327789e-187
4,"active",5.18013265332212e-182
5,"active",1.9609402700735e-44
6,"active",6.07638801127571e-181
1,"acuerda",5.01087744908328e-187
2,"acuerda",7.94863382676861e-192
3,"acuerda",1.19707027027816e-55
4,"acuerda",0.00119020179423761
5,"acuerda",1.30751788932814e-190
6,"acuerda",3.10308816005011e-187
1,"addict",2.86535321013623e-69
2,"addict",9.69457782461294e-149
3,"addict",4.8921711669018e-224
4,"addict",5.15539652509573e-219
5,"addict",0.00220142775017591
6,"addict",1.59449985746801e-80
1,"addition",1.52041847447843e-36
2,"addition",1.93915873236356e-175
3,"addition",1.13717594544972e-177
4,"addition",4.10573118094295e-171
5,"addition",4.2206838984098e-173
6,"addition",0.00132636517530188
1,"adoradores",2.65289134963296e-180
2,"adoradores",4.71966512112305e-182
3,"adoradores",0.000887327989521247
4,"adoradores",1.26982146380391e-180
5,"adoradores",1.17190366321001e-181
6,"adoradores",1.96112303045995e-177
1,"adore",0.0011436347751787
2,"adore",1.1926966362876e-142
3,"adore",4.0571226843335e-144
4,"adore",2.68061956943748e-140
5,"adore",8.72218916366271e-141
6,"adore",3.45968746448408e-138
1,"advc",8.26793674111559e-179
2,"advc",5.07849676008683e-181
3,"advc",2.03120258000608e-183
4,"advc",0.00119020179423761
5,"advc",4.32795366990979e-179
6,"advc",1.50154727649783e-176
1,"adventure",5.91004006618941e-186
2,"adventure",2.18285156923134e-189
3,"adventure",1.99215167416836e-188
4,"adventure",1.75379840431047e-55
5,"adventure",1.55810861228242e-187
6,"adventure",0.00795819105181128
1,"affordable",1.20309681365614e-167
2,"affordable",0.00106272090598136
3,"affordable",3.35008518085467e-192
4,"affordable",5.48593296773607e-188
5,"affordable",1.23046436447909e-187
6,"affordable",7.12196045614719e-185
1,"africa",1.47589017070246e-167
2,"africa",2.36800727212375e-170
3,"africa",2.01639394077417e-173
4,"africa",0.00238040358847522
5,"africa",3.54870854169941e-38
6,"africa",7.27497380150677e-166
1,"age",5.61201366292492e-178
2,"age",4.29833042648774e-181
3,"age",4.00154281304906e-182
4,"age",4.88247897216253e-178
5,"age",0.00110071387508795
6,"age",1.7969421450536e-173
1,"agenda",0.0011436347751787
2,"agenda",9.97330250767589e-187
3,"agenda",2.91724200256841e-51
4,"agenda",1.76576609279384e-184
5,"agenda",1.23069274309231e-184
6,"agenda",4.95084353303953e-184
1,"ago",3.49197518528336e-72
2,"ago",1.44239368944373e-160
3,"ago",5.02380273932347e-161
4,"ago",0.00390902780682946
