"word","freq"
"registered",61
"trademark",61
"india",54
"bro",30
"song",28
"april",27
"cent",18
"culture",16
"love",16
"time",15
"indian",14
"yeah",13
"present",11
"country",9
"copyright",8
"hey",8
"yep",8
"hai",7
"laughing",7
"loud",7
"mumbai",7
"back",6
"brother",6
"people",6
"yup",6
"bhai",5
"comments",5
"day",5
"future",5
"listen",5
"listening",5
"made",5
"nice",5
"ago",4
"aqui",4
"beautiful",4
"forever",4
"hindu",4
"iam",4
"living",4
"make",4
"north",4
"show",4
"sir",4
"south",4
"theshadow",4
"true",4
"baby",3
"brasil",3
"bruh",3
"buddy",3
"cancion",3
"comment",3
"cry",3
"date",3
"excuse",3
"food",3
"hahaha",3
"hinduism",3
"indians",3
"insulting",3
"listened",3
"miss",3
"missed",3
"muslims",3
"nahi",3
"nope",3
"pakistan",3
"proud",3
"put",3
"turkey",3
"varanasi",3
"video",3
"watch",3
"world",3
"yeap",3
"yeh",3
"alcohol",2
"argentina",2
"ashutoshindia",2
"asked",2
"baat",2
"based",2
"beauty",2
"bharat",2
"bhi",2
"big",2
"bollywood",2
"bombasticzoqz",2
"bot",2
"call",2
"cares",2
"coldplay",2
"content",2
"crazy",2
"daily",2
"delhi",2
"elizabethujmg",2
"everyday",2
"find",2
"foreign",2
"friend",2
"fun",2
"germany",2
"great",2
"happy",2
"happypotato",2
"hate",2
"hear",2
"hindustan",2
"huh",2
"jai",2
"japan",2
"joke",2
"koi",2
"kya",2
"late",2
"likes",2
"literally",2
"long",2
"mai",2
"malaysia",2
"man",2
"mee",2
"mil",2
"money",2
"moye",2
"ofc",2
"pfp",2
"photo",2
"place",2
"problem",2
"reply",2
"sandalwood",2
"sara",2
"shantiprakashbihani",2
"showing",2
"slowly",2
"stop",2
"stuck",2
"sufiyanratnani",2
"sunday",2
"tera",2
"terrorists",2
"things",2
"thought",2
"thousands",2
"tobago",2
"today",2
"toh",2
"traveler",2
"trinidad",2
"type",2
"videos",2
"watching",2
"west",2
"whoot",2
"worry",2
"wow",2
"wrong",2
"yah",2
"yap",2
"yas",2
"yea",2
"year",2
"years",2
"yessir",2
"yey",2
"yuh",2
"aadmi",1
"aaja",1
"aane",1
"aapke",1
"aapko",1
"abel",1
"abhi",1
"abril",1
"access",1
"aceito",1
"acetheerzar",1
"achei",1
"ada",1
"addicted",1
"adelantes",1
"adopt",1
"adopted",1
"advanced",1
"advise",1
"aeybeec",1
"aeybeecrwoosh",1
"agaya",1
"agenda",1
"ahora",1
"aisa",1
"aku",1
"alcoholic",1
"alive",1
"amazed",1
"amigo",1
"amiirzack",1
"amiirzackbharat",1
"analuizacaetanodafonsecapreco",1
"anos",1
"antigas",1
"anymore",1
"apan",1
"apni",1
"applicable",1
"appreciating",1
"appreciation",1
"arabic",1
"area",1
"asdfgasdfg",1
"ashutoshsingh",1
"asi",1
"atleast",1
"attention",1
"aur",1
"avicii",1
"avril",1
"award",1
"ayy",1
"azokyjufsame",1
"baap",1
"background",1
"bad",1
"bahrain",1
"bakchod",1
"bakchodi",1
"band",1
"bangaladeshi",1
"bangladesh",1
"barbie",1
"bas",1
"beggar",1
"beggars",1
