"left","right","n"
NA,NA,453
"registered","trademark",61
"i","am",53
"trademark","registered",41
"it","is",26
"this","song",19
"from","india",18
"am","from",13
"am","here",13
"do","not",12
"me","too",9
"india","is",7
"laughing","out",7
"no","one",7
"out","loud",7
"love","from",6
"mu","mu",6
"yes","bro",6
"are","not",5
"i","will",5
"in","april",5
"is","not",5
"song","is",5
"that","is",5
"to","this",5
"we","are",5
"you","are",5
"am","in",4
"and","i",4
"but","i",4
"cent","cent",4
"im","here",4
"in","mumbai",4
"in","the",4
"is","a",4
"living","in",4
"no","it",4
"they","are",4
"excuse","me",3
"here","from",3
"how","did",3
"i","do",3
"i","have",3
"i","love",3
"india","and",3
"india","registered",3
"is","insulting",3
"is","still",3
"is","the",3
"listen","to",3
"listened","this",3
"me","registered",3
"not","even",3
"not","it",3
"not","put",3
"of","india",3
"so","do",3
"south","india",3
"this","is",3
"to","be",3
"trademark","mu",3
"why","we",3
"wish","you",3
"yes","sir",3
"a","long",2
"a","time",2
"able","to",2
"about","north",2
"aj","aj",2
"always","welcome",2
"am","a",2
"am","indian",2
"am","living",2
"am","not",2
"and","beauty",2
"and","he",2
"and","it",2
"and","no",2
"and","pakistan",2
"and","tobago",2
"and","you",2
"april","th",2
"are","in",2
"as","i",2
"as","well",2
"back","to",2
"based","on",2
"big","country",2
"come","back",2
"country","they",2
"culture","and",2
"did","you",2
"even","i",2
"for","you",2
"from","the",2
"from","trinidad",2
"he","is",2
"hindu","country",2
"i","also",2
"i","like",2
"i","listen",2
"i","literally",2
"i","m",2
"i","was",2
"i","wish",2
"in","may",2
"india","so",2
"indian","culture",2
"insulting","india",2
"is","based",2
"is","from",2
"is","here",2
"is","hindu",2
"is","only",2
"is","so",2
"is","why",2
"it","was",2
"la","cancion",2
"like","other",2
"like","your",2
"listening","to",2
"long","time",2
"love","this",2
"love","u",2
"made","a",2
"me","bro",2
"me","cent",2
"me","on",2
"me","present",2
"mu","cent",2
"mu","registered",2
"mumbai","too",2
"my","country",2
"my","friend",2
"my","india",2
"next","year",2
"north","india",2
"not","able",2
"not","worry",2
"not","you",2
"of","comments",2
"of","course",2
"one","asked",2
"one","is",2
"people","are",2
"showing","that",2
"song","forever",2
"th","time",2
"thanks","for",2
"the","food",2
"the","future",2
"the","world",2
"these","type",2
"thousands","of",2
"time","traveler",2
"to","show",2
"trinidad","and",2
"turkey","and",2
"type","of",2
"u","from",2
"u","south",2
"we","have",2
"we","here",2
"what","i",2
"what","is",2
"when","i",2
"will","be",2
"will","definitely",2
"with","muslims",2
"yes","i",2
"yes","me",2
"you","and",2
"you","know",2
"you","say",2
"your","culture",2
"a","beautiful",1
"a","big",1
"a","filipino",1
"a","indian",1
"a","kid",1
"a","muslim",1
"a","reply",1
"a","roast",1
"a","secular",1
"a","single",1
"a","sky",1
"a","song",1
"a","ti",1
"a","todos",1
"a","trinidadian",1
"a","vlog",1
"a","week",1
"a","white",1
"aadmi","naak",1
"aaja","bhai",1
"aane","to",1
"aapke","apni",1
"aapko","kuch",1
"abel","joe",1
"abhi","toh",1
"about","my",1
"about","that",1
"about","you",1
"access","to",1
"acetheerzar","no",1
"achei","not",1
"ada","bng",1
"addicted","to",1
"adelantes","tanto",1
"adopt","terrorists",1
"adopted","arabic",1
"advanced","date",1
"advise","every",1
"after","seeing",1
"again","coz",1
"agaya","likes",1
"agenda","king",1
"ahora","xd",1
"aisa","nahi",1
"aj","th",1
"aku","bukan",1
"alcoholic","substance",1
"alive","will",1
"all","dead",1
"all","destroyed",1
"all","of",1
"all","time",1
"all","wold",1
"already","come",1
"also","becoming",1
"also","come",1
"also","miss",1
"also","nice",1
"also","no",1
"also","these",1
"am","amazed",1
"am","at",1
"am","bangaladeshi",1
"am","currently",1
"am","eu",1
"am","form",1
"am","just",1
"am","listening",1
"am","please",1
"am","proud",1
"am","still",1
"amazed","ure",1
"amiirzack","registered",1
"amiirzackbharat","registered",1
"an","end",1
"an","idiot",1
"analuizacaetanodafonsecapreco","neni",1
"and","also",1
"and","argentina",1
"and","ask",1
"and","best",1
"and","content",1
"and","culture",1
"and","educated",1
"and","food",1
"and","for",1
"and","hello",1
"and","hindu",1
"and","idol",1
"and","if",1
"and","im",1
"and","indian",1
"and","listened",1
"and","listening",1
"and","north",1
"and","other",1
"and","same",1
"and","showing",1
"and","slavery",1
"and","the",1
"and","time",1
"and","west",1
"antigas","tem",1
"apan","logon",1
"apni","lagao",1
"applicable","verdade",1
"appreciating","india",1
"april","am",1
"april","date",1
"april","nd",1
"april","that",1
"april","when",1
"april","yet",1
"aqui","y",1
"arabic","culture",1
"are","addicted",1
"are","always",1
"are","comparing",1
"are","fool",1
"are","just",1
"are","ktva",1
"are","liberals",1
"are","nice",1
"are","only",1
"are","showing",1
"are","so",1
"are","u",1
"are","useless",1
"are","welcome",1
"are","well",1
"area","hai",1
"argentina","from",1
"as","all",1
"as","hindu",1
"as","that",1
"as","this",1
"ashutoshindia","and",1
"ashutoshindia","hinduism",1
"ashutoshsingh","thats",1
"ask","your",1
"asked","and",1
"asked","bot",1
"at","bahrain",1
"at","in",1
"atleast","try",1
"aur","kya",1
"avicii","mu",1
"avril","toute",1
"award","nahi",1
"azokyjufsame","here",1
"baat","baat",1
"baat","pe",1
"baby","ko",1
"back","brother",1
"back","i",1
"back","in",1
"background","made",1
"bahrain","here",1
"bakchod","gyan",1
"bakchodi","se",1
"band","i",1
"bangladesh","copyright",1
"barbie","gi",1
"bas","kar",1
"bc","this",1
"be","back",1
"be","exact",1
"be","fun",1
"be","happy",1
"be","indian",1
"be","listening",1
"be","offended",1
"beautiful","india",1
"beautiful","videos",1
"beauty","the",1
"because","he",1
"because","of",1
"because","u",1
"become","the",1
"becoming","like",1
"before","my",1
"beggars","here",1
"behave","like",1
"believe","he",1
