"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1","Who watch 2025❤❤","@rabbatuljahanratul1161","https://yt3.ggpht.com/ytc/AIdro_n2a6AS4BVUNZp6gYnuleR1OW8ay8OYv4RSbypwwBR7F4g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@rabbatuljahanratul1161","UC08wi-oNj1g7h5IAXH8kydg","0","0","2024-05-27T10:43:22Z","2024-05-27T10:43:22Z","UgzPlrnt2tDo0ob8uUt4AaABAg",NA,"YykjpeuMNEk"
"2","This is truely dedicated for Indians.","@servingias","https://yt3.ggpht.com/Lzg-wx2ralgH9T3SK6kBk279ESFC1Tt48eAh0N1UOsRo6Hu-TTRibVZRUs8DRA_XeFCLR2kWS0E=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@servingias","UC93W3BQE7n2ubiWxWcW3VJw","0","1","2024-05-27T09:53:26Z","2024-05-27T09:53:26Z","UgxArxmJ2omUMxpCxbZ4AaABAg",NA,"YykjpeuMNEk"
"3","This legendary song and the singer never gets old ❤","@royronalo9889","https://yt3.ggpht.com/ytc/AIdro_lkvZL6_kz1dOZZNlAfaTAAvzD815r_d0GFkV8C9bR31YRZeGPylgyyE4sM5v8Yxu6Veg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@royronalo9889","UCE53khedYAm1U5TovCe-90A","0","1","2024-05-27T09:13:07Z","2024-05-27T09:13:07Z","Ugx5Ca7LA7AqSaZhMPp4AaABAg",NA,"YykjpeuMNEk"
"4","Anyone in 21 century 😊","@kedar-2060","https://yt3.ggpht.com/vDgE1J2iU8R1TCoziE8bGIvJGLMjcMCjY0QiOG-DLukkZFlHvy-TAH8NjMU8z_0WNi2hApHvhg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kedar-2060","UCKTDVZGAAddBEzgYKYKy9fQ","0","0","2024-05-27T06:58:12Z","2024-05-27T06:58:12Z","Ugx7c0ZrvPi4AgLqJm94AaABAg",NA,"YykjpeuMNEk"
"5","8 year older music in 2024?😊😊😊","@nolike159","https://yt3.ggpht.com/fIX7ldTln3qyHEwLSoKLzwcb-6wuJBAUKA0wzcadwlYdFChQGwbx91GvaQhfr__ZhdXEaB-t=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@nolike159","UCJ_09JpsnF0c4fDhNPjlctw","0","0","2024-05-27T06:54:34Z","2024-05-27T06:54:34Z","UgxQcBzzHs5HGCWDxAZ4AaABAg",NA,"YykjpeuMNEk"
"6","This song makes you want to live","@psychoicon","https://yt3.ggpht.com/2KZg4ko7eR_iNdPxUVMaPqrW5e5__zbV5sKM4gBNp-8eOi-WKVyTlGVyKGkRlW08b3-Wo1y7F34=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@psychoicon","UCMMEsJGKZtd2kxQcGapf-pg","0","0","2024-05-27T06:46:46Z","2024-05-27T06:46:46Z","UgxkxoZ2n9wJ25EjKVF4AaABAg",NA,"YykjpeuMNEk"
"7","Who is form India 🇮🇳","@Dharmrajsinhzala-fh3zz","https://yt3.ggpht.com/ytc/AIdro_kb8d9MQcHiggmCBAHVEPHRB94fVm1iFLop1vtYP3Gy7YGzDIs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Dharmrajsinhzala-fh3zz","UCXBhKf0RpuTglcpplGKFkSA","0","1","2024-05-27T06:35:10Z","2024-05-27T06:35:10Z","UgwmpLin4CSTV1AvyE14AaABAg",NA,"YykjpeuMNEk"
"8","Bey 😍","@mellgacosilva8947","https://yt3.ggpht.com/iW9mc4xLSy2S0Tq8z9UvMTfQh2zWYdGolJjVDUgzVUlRCfR8FPaeH8wrzpwIPNUe9JWET_-x=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mellgacosilva8947","UCeTvdYFx0GJEieg9cyNrU1g","0","0","2024-05-27T05:52:50Z","2024-05-27T05:52:50Z","UgwAj6tQI5pQCK5he_R4AaABAg",NA,"YykjpeuMNEk"
"9","Who in 2030?","@wipes007","https://yt3.ggpht.com/3QNwGvpAroOw__sz631xigcvXO2wGKMlyHwxIvkKDcjgXoMeTTwJd9xU9JdX3E6gavAMXO7pQg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@wipes007","UCglm3R10WbHv7p8CeJyE7Nw","0","0","2024-05-27T05:40:16Z","2024-05-27T05:40:16Z","Ugw9KgRvQSVRuzygWkx4AaABAg",NA,"YykjpeuMNEk"
"10","how fast time goes by  feels like yesterday...","@freyacerberus7098","https://yt3.ggpht.com/ytc/AIdro_lAz3-Qn3ATyrpULNK9UzC6rpc45_Rjg61FUSTTUrLkOeUk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@freyacerberus7098","UC-zCI_RWZ-4gN2MiX4xyXaQ","0","0","2024-05-27T04:45:57Z","2024-05-27T04:45:57Z","UgwPOCfRM5OrqY626tx4AaABAg",NA,"YykjpeuMNEk"
"11","Can't believe it.
This song is 8 years old.❤❤💕💕","@DHANUSH_07455","https://yt3.ggpht.com/KNpsv7X_2Pq6FdDr5T2qjHrpf9j5E7flYwAUUn-HuqW6iOWD61b6Cbi_LyiS2tyMC_bEXIVrcxY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@DHANUSH_07455","UCt327CulPTLQ4wrSsubJtZw","0","0","2024-05-27T04:44:27Z","2024-05-27T04:44:27Z","UgymiylHOZzE0oW1cfV4AaABAg",NA,"YykjpeuMNEk"
"12","Yes... soon this song will be 9 years old and it is still heard a lot at the moment ✨","@vivianefranco1719","https://yt3.ggpht.com/ytc/AIdro_m0_VdlS7TvHxlaNKaxrpmXHnbJadhQfAcTB6ue1h4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@vivianefranco1719","UCRPTmVqgSIm8MFubJD-VgmA","0","1","2024-05-27T03:14:44Z","2024-05-27T03:14:44Z","UgwQf7Wu7u0gMrPAW3N4AaABAg",NA,"YykjpeuMNEk"
"13","2024","@ahmadmuslim1383","https://yt3.ggpht.com/ytc/AIdro_li0yM6cYLIOWjD11MRFrJBTyO1UpGuxl0HXyI_Shaix_AohWC1X6iVYA2plRVEmtsyaw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ahmadmuslim1383","UCuzpDv9jplzcTdfI7x8Rplg","0","0","2024-05-27T02:32:55Z","2024-05-27T02:32:55Z","UgyczuAf1YocPAEYJ2d4AaABAg",NA,"YykjpeuMNEk"
"14","🔥","@abetbakrie","https://yt3.ggpht.com/ytc/AIdro_kbQA-0erOJN1Yo3VKVAkcINjRS766IokbioQdvUiQEYQA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@abetbakrie","UCLGPTi5JTaAaxvTvboE4lyA","0","0","2024-05-27T01:11:17Z","2024-05-27T01:11:17Z","UgwiHPLEbJrWnt_rZuZ4AaABAg",NA,"YykjpeuMNEk"
"15","Definitivamente son unos papuchos","@GigaDave","https://yt3.ggpht.com/UVYnwgAhdfc5WmeLmu27-tb9OQgbJ3ctkaxLV2HvpZuYgLkJ2SVV3IM9Nis5rscjPvs3gaV3X6g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@GigaDave","UCu0HUARNqpNENyW-PinmGQA","0","0","2024-05-27T01:05:57Z","2024-05-27T01:05:57Z","UgxWt4-gUZfYXy62e214AaABAg",NA,"YykjpeuMNEk"
"16","The fact that this comment section is still active after 08 years is lit","@Abdellahzegai","https://yt3.ggpht.com/ytc/AIdro_nmtsXDHjV3vsi3WJxNLeR6_m62bNa4V324lnRtnFy0u-rpS5RDcRIx863T-hajBZ4JOA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Abdellahzegai","UCbi7ro60ycFqMKPTYySlQzA","0","1","2024-05-26T22:35:30Z","2024-05-26T22:35:30Z","Ugz37_W5Kj6xWc_uylJ4AaABAg",NA,"YykjpeuMNEk"
"17","Anyone from Mars in year 2030 😅?","@rachin_official","https://yt3.ggpht.com/ytc/AIdro_mVd-YZZ66XQVemxAPOi8YPg3gXG5_QX_efwlOpJK4ma5Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@rachin_official","UC8sgY7UQ2ChtJkvVTlqL_gg","0","1","2024-05-26T21:55:30Z","2024-05-26T21:55:30Z","UgxB7uSZ7scXhdE-c854AaABAg",NA,"YykjpeuMNEk"
"18","Listening before tiktok,musically,reels born","@sajjadazmir1480","https://yt3.ggpht.com/ytc/AIdro_mkA38rcPh9DnlocUZsEzUcSSGxTMcFYigfD4attb31x6U=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@sajjadazmir1480","UCSZBS_kQmdrC8t4VRVATcsQ","0","1","2024-05-26T21:30:17Z","2024-05-26T21:30:17Z","UgxdQ-Kn16zYdsBgNAZ4AaABAg",NA,"YykjpeuMNEk"
"19","I'm standing in front of the place where it was shot crazy memories brooo","@Pumpkinthehero","https://yt3.ggpht.com/j2FRxOPI1G93qtEN6MsTAR4ImndEpaecfmdqjJpSAakWnSDlEAnHl16onQumnnMS0Rhv9RmGhw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Pumpkinthehero","UCGHanyrKmctEziB8pTtuIYA","0","1","2024-05-26T21:30:02Z","2024-05-26T21:30:02Z","Ugz2k4lzCF46v4qThiR4AaABAg",NA,"YykjpeuMNEk"
"20","just saw this on BBC iplayer played in my town Luton, by Radio1 Big Weekend Music Festival 2024!","@Ryoko007","https://yt3.ggpht.com/ytc/AIdro_kG5QZ-drIAIm74S5cReCyBjLthMO5tXRriBK5CnM8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Ryoko007","UCug17SVPJ3OYqJs8YlY7yLA","0","1","2024-05-26T21:26:43Z","2024-05-26T21:26:43Z","Ugw7oGsV60Xh2j_cuWl4AaABAg",NA,"YykjpeuMNEk"
"21","es hermoso! nostralgia 2024","@MonauralScarf24","https://yt3.ggpht.com/tQzz8mrTWWYHBvrZnW0niH4YvSMYFexdiSKuNstmbTaZWZTUqytZa709g-lCavoR7IAJKeJ0NA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@MonauralScarf24","UCpuHA71NJUYooCegE7B3JIg","0","1","2024-05-26T21:09:49Z","2024-05-26T21:09:49Z","UgxnREosRGH_cqPdaep4AaABAg",NA,"YykjpeuMNEk"
