"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1","GYATT I WAS IN OHIO BEFORE I MET YOU","@user-dh6pv6nk8l","https://yt3.ggpht.com/bhg2gqWMOcK1gIH31E8WNdZaNuX_KtC1dzrQIhnl1UeLJjho8azc3tjRRbaWGredyW6tqhlKIz8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-dh6pv6nk8l","UCSPMit7ovjjktQ5DlSQJTVA","0","1","2024-05-27T14:07:21Z","2024-05-27T14:07:21Z","UgxjOu7t2i5bePEv_3F4AaABAg",NA,"PT2_F-1esPk"
"2","We ain't ever not the rizzler🗣️🔥💯","@s3lf_09","https://yt3.ggpht.com/ap27vx7nG68nouGhZcp6IK6-4kGOH8x0xlGVVrH5YAu3TcwfdFiOh0QlajqJaO6yhOAqBGejL54=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@s3lf_09","UCG-w4_BNM3pdkqFU-7mQehA","0","0","2024-05-27T13:54:23Z","2024-05-27T13:54:23Z","UgzBdBODZJlz4coOms14AaABAg",NA,"PT2_F-1esPk"
"3","So baby gronk me closer in the back skibidi toilet","","https://yt3.ggpht.com/VGLAirOPEsX9nhvo8ySfXNRBvUw3HhiIiWyZd9sxjzsVRvnJrkJtxm_qU-l4Y4tinqf38fXa=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/c/Ph%C3%BAKenJi2006","UC4tVFh3ib8pAm17H5WbKTbg","0","0","2024-05-27T13:31:46Z","2024-05-27T13:31:46Z","UgzTuz_miftXgp9Y0Vx4AaABAg",NA,"PT2_F-1esPk"
"4","Yes like a gift 🎁 of god... March 2024","@urielmayroldan3305","https://yt3.ggpht.com/ytc/AIdro_ls05GlP4-DsvOy8revtK45pPgUL1kFgh4LGuYfvV-O3nyWoRp3CJzDqI8Ctf7Dywg_LQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@urielmayroldan3305","UC2hAxm79upLoeuz_ydoqX2w","0","1","2024-05-27T12:31:53Z","2024-05-27T12:31:53Z","Ugw1xZhNE9l_EWJxDlp4AaABAg",NA,"PT2_F-1esPk"
"5","I just love this Song 💙","@ReyCaballero-mm5kv","https://yt3.ggpht.com/ytc/AIdro_kICLEWVz_Df11W9j2QDfrHNDDg1x_VaLwS8b0VSK2HbsRDCJlZlRWUA-jL7XAQ5mwfAg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ReyCaballero-mm5kv","UCSCqBGp_vEJAde6A5hZ-IFw","0","1","2024-05-27T12:18:41Z","2024-05-27T12:18:41Z","UgxbohVXo43W4rhUOIJ4AaABAg",NA,"PT2_F-1esPk"
"6","I'm here cuz of freenbecky","@user-ff8qt5sg5k","https://yt3.ggpht.com/ytc/AIdro_lqULl_zl4kd2Kqu-NGfQAeRgktPwzB-Z0A1Snc5T96-MRs7PMnyyGHCmsAyOOuHNpt5Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-ff8qt5sg5k","UCaCX93nv8xjqYbTje_luBXg","0","0","2024-05-27T12:14:35Z","2024-05-27T12:14:35Z","UgyNJnL-eaYeb9rT9KB4AaABAg",NA,"PT2_F-1esPk"
"7","anyone in 2028?","@Connor-ez9nj","https://yt3.ggpht.com/ytc/AIdro_mFwh2IrAgSRZ0bfsBI6zmAunMhdQdLYWio4gGzQHiQAgS8RJeBxykBSv3CKlCmqo2Z-A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Connor-ez9nj","UCk8swJ_KoiZe2cO07-lunwQ","0","1","2024-05-27T12:01:29Z","2024-05-27T12:01:29Z","UgzRNk0nrpgAIAYE3kF4AaABAg",NA,"PT2_F-1esPk"
"8","Anyone in June 2024 ? 😂","@rosemoreno8145","https://yt3.ggpht.com/2KEuY_Zl2pYoG-IyjakZvm4d8zphGW9IbdC78yI8kFqS6AI61Dw4_7STt5mQntKMV9wVYrwEJw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@rosemoreno8145","UCVQe85BgJe8RudZ1SaR6f-g","0","1","2024-05-27T11:32:18Z","2024-05-27T11:32:18Z","UgxQgEpBmZW5fi8wI014AaABAg",NA,"PT2_F-1esPk"
"9","I ain't never be sigma","@Ganbarrethink","https://yt3.ggpht.com/bA1SNuw70GUNlT9SIpjeKAIUhDRSMhkTedW6abM7MwaBzfTyZjoO44kQU_mb4Sl5XyLDuGYgBA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Ganbarrethink","UCB4RhtPn2TaxeZN3bVEyWLA","0","0","2024-05-27T09:55:44Z","2024-05-27T09:55:44Z","Ugwnl4kbAa35hzOEsod4AaABAg",NA,"PT2_F-1esPk"
"10","I used to love this in 2022","@brawlonlyy","https://yt3.ggpht.com/ZUvVha8L1IVrPENdz5PDGXBTHblRLxltROcYC-FzU1JccPkeJZlm6VBbKxIAY-m2b5zPmgoGv9o=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@brawlonlyy","UCTTqtJK9EMMQJdh8vwNAbbA","0","0","2024-05-27T09:43:48Z","2024-05-27T09:43:48Z","Ugzj78JtGcow2SdIJ7F4AaABAg",NA,"PT2_F-1esPk"
